date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,1,X,2,highest1,highestX,highest2,Value1,ValueX,Value2
03/08/2018,1952,Mexican Primera Division Torneo Apertura,Veracruz,Morelia,30.14,39.84,0.3319,0.377,0.2911,1.2,1.3,,,3.01,3.44,2.65,3.00,3.40,2.56,1.00,0.99,0.97
03/08/2018,1952,Mexican Primera Division Torneo Apertura,Atlas,Pumas Unam,36.61,40.71,0.3982,0.329,0.2728,1.47,1.32,,,2.51,3.67,3.04,2.77,3.42,2.75,1.10,0.93,0.90
04/08/2018,1874,Swedish Allsvenskan,Brommapojkarna,Dalkurd FF,12.31,20.96,0.3311,0.4277,0.2412,1.43,1.65,,,3.02,4.15,2.34,2.61,3.50,2.88,0.86,0.84,1.23
04/08/2018,1874,Swedish Allsvenskan,Kalmar FF,IFK Goteborg,29.47,31.82,0.4432,0.2847,0.2721,1.39,1.06,,,2.26,3.68,3.51,2.22,3.47,3.60,0.98,0.94,1.02
04/08/2018,1859,Norwegian Tippeligaen,Ranheim,Rosenborg,28.45,53.97,0.1912,0.5799,0.2288,0.97,1.87,,,5.23,4.37,1.72,4.82,3.80,1.88,0.92,0.87,1.09
04/08/2018,2105,Brasileiro Série A,Botafogo,Santos,45.32,49.14,0.4461,0.2811,0.2729,1.36,1.02,,,2.24,3.66,3.56,2.75,3.22,2.90,1.23,0.88,0.82
04/08/2018,1951,Major League Soccer,Atlanta United FC,Toronto FC,45.86,38.99,0.5802,0.2067,0.2131,2.07,1.16,,,1.72,4.69,4.84,1.71,4.50,4.80,0.99,0.96,0.99
04/08/2018,2105,Brasileiro Série A,Grêmio,Flamengo,57.52,60.51,0.4597,0.2436,0.2966,1.22,0.81,,,2.18,3.37,4.11,2.20,3.30,4.15,1.01,0.98,1.01
04/08/2018,1952,Mexican Primera Division Torneo Apertura,Necaxa,Lobos de la BUAP,41.33,37.42,0.4756,0.2526,0.2718,1.58,1.08,,,2.10,3.68,3.96,1.72,3.80,6.00,0.82,1.03,1.52
04/08/2018,1951,Major League Soccer,Montreal Impact,DC United,27.04,28.98,0.4819,0.2746,0.2435,1.7,1.23,,,2.08,4.11,3.64,1.93,3.90,4.20,0.93,0.95,1.15
